,Feature,true,internal,external,internal-diff,external-diff,Source,Algorithm,Dimension,Stat
8331,channel-39 amplitude-silhouette-2-2 dim-2,0.087768805761022,0.1500511746626357,0.088503199390888,-0.0622823689016136,-0.0007343936298659,channel-39,amplitude-silhouette-2-2,dim-2,
8277,channel-39 silhouette-2 dim-2 norm-2,0.087768805761022,0.1500511746626357,0.088503199390888,-0.0622823689016136,-0.0007343936298659,channel-39,silhouette-2,dim-2,norm-2
1655,channel-7 bd2 all skew,0.0981035706019657,0.1500378304895024,0.0828600332651915,-0.0519342598875366,0.0152435373367741,channel-7,bd2,all,skew
11447,dissim-6 life all skew,0.0496467601058296,0.1500054025774808,0.0512627669963163,-0.1003586424716511,-0.0016160068904866,dissim-6,life,all,skew
6661,channel-31 life all kurtosis,0.1102299086790994,0.1500021309592678,0.0921803695428893,-0.0397722222801683,0.01804953913621,channel-31,life,all,kurtosis
15479,dissim-15 amplitude-landscape-2-1 norm-1,0.0678698368307364,0.1499909871160183,0.0655826555617719,-0.0821211502852819,0.0022871812689644,dissim-15,amplitude-landscape-2-1,norm-1,
3238,channel-15 entropy dim-1,0.0818406594268007,0.1499731984372987,0.0858427581386896,-0.068132539010498,-0.0040020987118889,channel-15,entropy,dim-1,
5601,channel-26 amplitude-silhouette-2-2 dim-2,0.077132048404835,0.1499360493879141,0.0832613172615055,-0.072804000983079,-0.0061292688566704,channel-26,amplitude-silhouette-2-2,dim-2,
5547,channel-26 silhouette-2 dim-2 norm-2,0.077132048404835,0.1499360493879141,0.0832613172615055,-0.072804000983079,-0.0061292688566704,channel-26,silhouette-2,dim-2,norm-2
4892,channel-23 silhouette-1 dim-2 kurtosis,0.0921841236727281,0.149910712946232,0.1036377700446416,-0.0577265892735038,-0.0114536463719134,channel-23,silhouette-1,dim-2,kurtosis
3717,channel-17 life all sum,0.1168669926592865,0.1498667372811057,0.109192810210829,-0.0329997446218191,0.0076741824484575,channel-17,life,all,sum
3668,channel-17 amplitude-wasserstein-1 norm-1,0.1168669926592865,0.1498667372811057,0.109192810210829,-0.0329997446218191,0.0076741824484575,channel-17,amplitude-wasserstein-1,norm-1,
3723,channel-17 life all norm-1,0.1168669926592865,0.1498667372811057,0.109192810210829,-0.0329997446218191,0.0076741824484575,channel-17,life,all,norm-1
15064,dissim-14 life all mean,0.0526531804363041,0.1498297350480066,0.0606694803473131,-0.0971765546117024,-0.008016299911009,dissim-14,life,all,mean
8,channel-0 betti dim-1 skew,0.0473036983322173,0.1498171511458477,0.0535194530205442,-0.1025134528136303,-0.0062157546883268,channel-0,betti,dim-1,skew
8038,channel-38 silhouette-1 dim-2 sum,0.0720936500777465,0.1496933581206243,0.0677505976918768,-0.0775997080428778,0.0043430523858697,channel-38,silhouette-1,dim-2,sum
8036,channel-38 silhouette-1 dim-2 mean,0.0720936500777465,0.1496933581206243,0.0677505976918768,-0.0775997080428778,0.0043430523858697,channel-38,silhouette-1,dim-2,mean
8044,channel-38 silhouette-1 dim-2 norm-1,0.0720936500777465,0.1496933581206243,0.0677505976918768,-0.0775997080428778,0.0043430523858697,channel-38,silhouette-1,dim-2,norm-1
8109,channel-38 amplitude-silhouette-1-1 dim-2,0.0720936500777465,0.1496933581206243,0.0677505976918768,-0.0775997080428778,0.0043430523858697,channel-38,amplitude-silhouette-1-1,dim-2,
2152,channel-10 silhouette-1 dim-1 skew,0.09442178150913,0.1496776631916494,0.1042963598848668,-0.0552558816825193,-0.0098745783757367,channel-10,silhouette-1,dim-1,skew
2317,channel-11 betti dim-1 kurtosis,0.0788060231138992,0.149650538296047,0.0903805949455694,-0.0708445151821478,-0.0115745718316702,channel-11,betti,dim-1,kurtosis
1721,channel-8 landscape dim-2 skew,0.0917351293701998,0.1496346613908519,0.1148387083350475,-0.057899532020652,-0.0231035789648477,channel-8,landscape,dim-2,skew
3690,channel-17 amplitude-landscape-2-1 dim-1,0.0742202176642477,0.149619395708461,0.0915874050067293,-0.0753991780442132,-0.0173671873424816,channel-17,amplitude-landscape-2-1,dim-1,
3602,channel-17 landscape dim-1 norm-2,0.0742202176642477,0.149619395708461,0.0915874050067293,-0.0753991780442132,-0.0173671873424816,channel-17,landscape,dim-1,norm-2
4154,channel-19 life dim-1 norm-1,0.0952381804109063,0.1495866301465819,0.0922761661313047,-0.0543484497356756,0.0029620142796016,channel-19,life,dim-1,norm-1
4148,channel-19 life dim-1 sum,0.0952381804109063,0.1495866301465819,0.0922761661313047,-0.0543484497356756,0.0029620142796016,channel-19,life,dim-1,sum
4086,channel-19 amplitude-wasserstein-1 dim-1,0.0952381804109063,0.1495866301465819,0.0922761661313047,-0.0543484497356756,0.0029620142796016,channel-19,amplitude-wasserstein-1,dim-1,
19212,dissim-23 bd2 all percentile-75,0.1281191095086443,0.1495318507871977,0.1063803118163437,-0.0214127412785534,0.0217387976923005,dissim-23,bd2,all,percentile-75
6639,channel-31 amplitude-silhouette-1-1 dim-2,0.0872402612501113,0.1495042826931646,0.0963880427230778,-0.0622640214430532,-0.0091477814729664,channel-31,amplitude-silhouette-1-1,dim-2,
6566,channel-31 silhouette-1 dim-2 mean,0.0872402612501113,0.1495042826931646,0.0963880427230778,-0.0622640214430532,-0.0091477814729664,channel-31,silhouette-1,dim-2,mean
6568,channel-31 silhouette-1 dim-2 sum,0.0872402612501113,0.1495042826931646,0.0963880427230778,-0.0622640214430532,-0.0091477814729664,channel-31,silhouette-1,dim-2,sum
6574,channel-31 silhouette-1 dim-2 norm-1,0.0872402612501113,0.1495042826931646,0.0963880427230778,-0.0622640214430532,-0.0091477814729664,channel-31,silhouette-1,dim-2,norm-1
9555,dissim-2 amplitude-wasserstein-2 norm-1,0.0671014635969794,0.14948973755628,0.0757510928923778,-0.0823882739593005,-0.0086496292953983,dissim-2,amplitude-wasserstein-2,norm-1,
7578,channel-36 betti dim-2 kurtosis,0.061654175479434,0.1494849369142484,0.068712309477932,-0.0878307614348144,-0.007058133998498,channel-36,betti,dim-2,kurtosis
7059,channel-33 amplitude-silhouette-1-1 dim-2,0.0819899415561195,0.1494213930824316,0.0720982920456633,-0.0674314515263121,0.0098916495104561,channel-33,amplitude-silhouette-1-1,dim-2,
6986,channel-33 silhouette-1 dim-2 mean,0.0819899415561195,0.1494213930824316,0.0720982920456633,-0.0674314515263121,0.0098916495104561,channel-33,silhouette-1,dim-2,mean
6988,channel-33 silhouette-1 dim-2 sum,0.0819899415561195,0.1494213930824316,0.0720982920456633,-0.0674314515263121,0.0098916495104561,channel-33,silhouette-1,dim-2,sum
6994,channel-33 silhouette-1 dim-2 norm-1,0.0819899415561195,0.1494213930824316,0.0720982920456633,-0.0674314515263121,0.0098916495104561,channel-33,silhouette-1,dim-2,norm-1
3228,channel-15 silhouette-2 dim-2 mean,0.0989096593478653,0.1494055032593004,0.1075461412785983,-0.0504958439114351,-0.0086364819307329,channel-15,silhouette-2,dim-2,mean
3230,channel-15 silhouette-2 dim-2 sum,0.0989096593478653,0.1494055032593004,0.1075461412785983,-0.0504958439114351,-0.0086364819307329,channel-15,silhouette-2,dim-2,sum
3283,channel-15 amplitude-silhouette-1-2 dim-2,0.0989096593478653,0.1494055032593004,0.1075461412785983,-0.0504958439114351,-0.0086364819307329,channel-15,amplitude-silhouette-1-2,dim-2,
3236,channel-15 silhouette-2 dim-2 norm-1,0.0989096593478653,0.1494055032593004,0.1075461412785983,-0.0504958439114351,-0.0086364819307329,channel-15,silhouette-2,dim-2,norm-1
15493,dissim-15 amplitude-silhouette-1-1 norm-1,0.0586761933417038,0.1493841786090971,0.0517946739045219,-0.0907079852673933,0.0068815194371818,dissim-15,amplitude-silhouette-1-1,norm-1,
16622,dissim-18 landscape dim-2 std,0.042897663498599,0.1493688119499132,0.0392326585974699,-0.1064711484513142,0.003665004901129,dissim-18,landscape,dim-2,std
6930,channel-33 betti dim-1 max,0.0837917758473036,0.1493310173242817,0.1012901366431417,-0.065539241476978,-0.017498360795838,channel-33,betti,dim-1,max
3449,channel-16 entropy dim-2,0.106005792078712,0.1492143563760291,0.0826215132841032,-0.0432085642973171,0.0233842787946087,channel-16,entropy,dim-2,
10616,dissim-4 bd2 dim-1 percentile-75,0.0634376654461802,0.1492138669366468,0.0721167687093336,-0.0857762014904666,-0.0086791032631533,dissim-4,bd2,dim-1,percentile-75
2695,channel-12 life dim-2 norm-1,0.0938805976238377,0.149189147866748,0.1024572806167102,-0.0553085502429102,-0.0085766829928724,channel-12,life,dim-2,norm-1
2689,channel-12 life dim-2 sum,0.0938805976238377,0.149189147866748,0.1024572806167102,-0.0553085502429102,-0.0085766829928724,channel-12,life,dim-2,sum
2617,channel-12 amplitude-wasserstein-1 dim-2,0.0938805976238377,0.149189147866748,0.1024572806167102,-0.0553085502429102,-0.0085766829928724,channel-12,amplitude-wasserstein-1,dim-2,
2609,channel-12 entropy dim-2,0.0958833497549516,0.149181168976236,0.0768725789712186,-0.0532978192212844,0.0190107707837329,channel-12,entropy,dim-2,
9261,dissim-1 bd2 dim-1 norm-2,0.0847158383792508,0.1491176419835203,0.076342354482311,-0.0644018036042694,0.0083734838969397,dissim-1,bd2,dim-1,norm-2
9279,dissim-1 bd2 dim-3 percentile-75,0.0681090593354556,0.1490355548517774,0.069770323964618,-0.0809264955163217,-0.0016612646291623,dissim-1,bd2,dim-3,percentile-75
9710,dissim-2 bd2 dim-1 percentile-75,0.063978406022126,0.1488926952930014,0.0601316809251245,-0.0849142892708754,0.0038467250970014,dissim-2,bd2,dim-1,percentile-75
5081,channel-24 landscape dim-2 skew,0.0919934257117275,0.1488919057344987,0.1099667449011365,-0.0568984800227711,-0.017973319189409,channel-24,landscape,dim-2,skew
16834,dissim-18 amplitude-landscape-2-1 dim-2,0.0435817714843535,0.1488562659636338,0.0395550390781148,-0.1052744944792802,0.0040267324062387,dissim-18,amplitude-landscape-2-1,dim-2,
16630,dissim-18 landscape dim-2 norm-2,0.0435817714843535,0.1488562659636338,0.0395550390781148,-0.1052744944792802,0.0040267324062387,dissim-18,landscape,dim-2,norm-2
8059,channel-38 silhouette-2 dim-2 std,0.064963905263487,0.1487964358310464,0.0582704624415215,-0.0838325305675594,0.0066934428219655,channel-38,silhouette-2,dim-2,std
3714,channel-17 life all max,0.0817268619255632,0.1487869028189134,0.0900312604656357,-0.0670600408933502,-0.0083043985400724,channel-17,life,all,max
19243,dissim-23 bd2 dim-3 percentile-25,0.110586718475776,0.148708271126823,0.1043586420771359,-0.038121552651047,0.0062280763986401,dissim-23,bd2,dim-3,percentile-25
18903,dissim-23 landscape dim-3 kurtosis,0.1105014251127547,0.1486893263287548,0.1026569729537163,-0.038187901216,0.0078444521590383,dissim-23,landscape,dim-3,kurtosis
15900,dissim-16 amplitude-betti-1 dim-2,0.064108994016567,0.148659396232868,0.0582561681988185,-0.0845504022163009,0.0058528258177485,dissim-16,amplitude-betti-1,dim-2,
15431,dissim-15 amplitude-bottleneck norm-2,0.0602151035849175,0.1486346054334194,0.0635323711165007,-0.0884195018485019,-0.0033172675315832,dissim-15,amplitude-bottleneck,norm-2,
8339,channel-39 life all median,0.0842514321419101,0.148621345568534,0.0624130371083339,-0.0643699134266238,0.0218383950335762,channel-39,life,all,median
7039,channel-33 amplitude-betti-2 dim-2,0.1057355835425336,0.1486168440371781,0.1089954409800524,-0.0428812604946445,-0.0032598574375188,channel-33,amplitude-betti-2,dim-2,
6761,channel-32 landscape dim-2 skew,0.0580736554044738,0.1485750108917491,0.0532294409702707,-0.0905013554872753,0.004844214434203,channel-32,landscape,dim-2,skew
11968,dissim-7 bd2 all norm-2,0.0928394737999348,0.1485385472018481,0.1023210907639083,-0.0556990734019132,-0.0094816169639735,dissim-7,bd2,all,norm-2
6888,channel-32 life dim-2 std,0.0834175971173395,0.1484350181274384,0.0802203849387475,-0.0650174210100988,0.003197212178592,channel-32,life,dim-2,std
5539,channel-26 silhouette-2 dim-2 std,0.0742134880496786,0.1484114848160271,0.0813847686251387,-0.0741979967663485,-0.00717128057546,channel-26,silhouette-2,dim-2,std
18768,dissim-22 bd2 dim-1 percentile-25,0.0851401571934901,0.1484006980221915,0.0761977133091637,-0.0632605408287013,0.0089424438843264,dissim-22,bd2,dim-1,percentile-25
4699,channel-22 silhouette-2 dim-2 std,0.109947155147232,0.1483976836194072,0.1045937439205485,-0.0384505284721752,0.0053534112266834,channel-22,silhouette-2,dim-2,std
529,channel-2 amplitude-betti-2 dim-2,0.0923727065085941,0.1483480052596205,0.0921805341708488,-0.0559752987510263,0.0001921723377453,channel-2,amplitude-betti-2,dim-2,
19124,dissim-23 amplitude-silhouette-1-2 norm-1,0.1115594044661853,0.1483106286228049,0.0823519730514874,-0.0367512241566196,0.0292074314146979,dissim-23,amplitude-silhouette-1-2,norm-1,
7800,channel-37 landscape dim-1 skew,0.0736411348733556,0.1482938738533284,0.0899250265308942,-0.0746527389799728,-0.0162838916575386,channel-37,landscape,dim-1,skew
5900,channel-28 betti dim-2 norm-1,0.0595007069452064,0.148236478254527,0.0498071852779766,-0.0887357713093206,0.0096935216672298,channel-28,betti,dim-2,norm-1
4498,channel-21 entropy dim-1,0.1007771894344762,0.1481897913100051,0.0971757890249084,-0.0474126018755289,0.0036014004095677,channel-21,entropy,dim-1,
11406,dissim-6 amplitude-landscape-2-2 dim-3,0.0419942489615964,0.1481744148611185,0.0471646581019622,-0.1061801658995221,-0.0051704091403658,dissim-6,amplitude-landscape-2-2,dim-3,
11973,dissim-7 bd2 dim-1 percentile-25,0.0593633525024119,0.1481710396496964,0.0652393755444836,-0.0888076871472844,-0.0058760230420716,dissim-7,bd2,dim-1,percentile-25
11506,dissim-6 bd2 all mean,0.0786148476324521,0.148125407638389,0.0644323639354546,-0.0695105600059369,0.0141824836969975,dissim-6,bd2,all,mean
9541,dissim-2 amplitude-bottleneck norm-1,0.0680035364896997,0.1480820612777714,0.0567200494129286,-0.0800785247880716,0.0112834870767711,dissim-2,amplitude-bottleneck,norm-1,
4761,channel-22 amplitude-silhouette-2-2 dim-2,0.1112837082013214,0.1480610373217792,0.1031325680539206,-0.0367773291204578,0.0081511401474007,channel-22,amplitude-silhouette-2-2,dim-2,
4707,channel-22 silhouette-2 dim-2 norm-2,0.1112837082013214,0.1480610373217792,0.1031325680539206,-0.0367773291204578,0.0081511401474007,channel-22,silhouette-2,dim-2,norm-2
19494,overall life dim-1 skew,0.145417759144259,0.1480460089958755,0.1237675443466483,-0.0026282498516165,0.0216502147976106,overall,life,dim-1,skew
16792,dissim-18 amplitude-wasserstein-1 dim-2,0.0728832100190154,0.1480345355277325,0.064159756664643,-0.0751513255087171,0.0087234533543723,dissim-18,amplitude-wasserstein-1,dim-2,
16900,dissim-18 life dim-2 sum,0.0728832100190154,0.1480345355277325,0.064159756664643,-0.0751513255087171,0.0087234533543723,dissim-18,life,dim-2,sum
16906,dissim-18 life dim-2 norm-1,0.0728832100190154,0.1480345355277325,0.064159756664643,-0.0751513255087171,0.0087234533543723,dissim-18,life,dim-2,norm-1
2973,channel-14 landscape dim-2 max,0.0949613933410231,0.1480192896539663,0.0975349245656276,-0.0530578963129432,-0.0025735312246045,channel-14,landscape,dim-2,max
1344,channel-6 silhouette-2 dim-2 kurtosis,0.0873136496912499,0.1479921235367382,0.1184640309998503,-0.0606784738454883,-0.0311503813086004,channel-6,silhouette-2,dim-2,kurtosis
6987,channel-33 silhouette-1 dim-2 std,0.1024091459502994,0.1479901548506396,0.0934975915220209,-0.0455810089003402,0.0089115544282785,channel-33,silhouette-1,dim-2,std
17860,dissim-20 bd2 dim-1 std,0.0860372184538806,0.1479694514170536,0.0796081958253559,-0.0619322329631729,0.0064290226285247,dissim-20,bd2,dim-1,std
7097,channel-33 life dim-2 mean,0.0772626494171808,0.1479161970988184,0.0799809291487786,-0.0706535476816375,-0.0027182797315977,channel-33,life,dim-2,mean
8802,dissim-0 bd2 dim-1 percentile-25,0.0694157651231102,0.1479091485607814,0.0592882219125843,-0.0784933834376711,0.0101275432105258,dissim-0,bd2,dim-1,percentile-25
3025,channel-14 silhouette-2 dim-2 skew,0.0702788455664439,0.1478919122728427,0.0676530550315105,-0.0776130667063988,0.0026257905349333,channel-14,silhouette-2,dim-2,skew
18508,dissim-22 silhouette-1 dim-3 norm-2,0.0480596266566422,0.1478841790380487,0.0519237480536462,-0.0998245523814065,-0.003864121397004,dissim-22,silhouette-1,dim-3,norm-2
18675,dissim-22 amplitude-silhouette-2-1 dim-3,0.0480596266566422,0.1478841790380487,0.0519237480536462,-0.0998245523814065,-0.003864121397004,dissim-22,amplitude-silhouette-2-1,dim-3,
6707,channel-31 bd2 dim-1 norm-1,0.0681607749322646,0.147883141550735,0.0655113261672432,-0.0797223666184703,0.0026494487650214,channel-31,bd2,dim-1,norm-1
6701,channel-31 bd2 dim-1 sum,0.0681607749322646,0.147883141550735,0.0655113261672432,-0.0797223666184703,0.0026494487650214,channel-31,bd2,dim-1,sum
3733,channel-17 life dim-1 skew,0.1023131576825368,0.147859346246548,0.0901543236622698,-0.0455461885640111,0.012158834020267,channel-17,life,dim-1,skew
14363,dissim-13 landscape dim-2 skew,0.0666549094766226,0.1478237798249167,0.0645958299038085,-0.081168870348294,0.0020590795728141,dissim-13,landscape,dim-2,skew
19302,overall betti dim-3 skew,0.0842760022613672,0.1478058338158418,0.0866085057647068,-0.0635298315544746,-0.0023325035033396,overall,betti,dim-3,skew
4499,channel-21 entropy dim-2,0.1093418195805357,0.1477811968997188,0.0909411113387728,-0.038439377319183,0.0184007082417629,channel-21,entropy,dim-2,
3205,channel-15 silhouette-1 dim-2 max,0.0872709443788765,0.14777345153444,0.104286047829053,-0.0605025071555635,-0.0170151034501764,channel-15,silhouette-1,dim-2,max
11289,dissim-6 silhouette-2 dim-1 percentile-75,0.0528992436760789,0.1477424599541665,0.0532911823219851,-0.0948432162780876,-0.0003919386459061,dissim-6,silhouette-2,dim-1,percentile-75
2312,channel-11 betti dim-1 std,0.0905028196941165,0.1477409443116175,0.0715324768121302,-0.057238124617501,0.0189703428819862,channel-11,betti,dim-1,std
2320,channel-11 betti dim-1 norm-2,0.0905028196941165,0.1477409443116175,0.0715324768121302,-0.057238124617501,0.0189703428819862,channel-11,betti,dim-1,norm-2
15000,dissim-14 amplitude-betti-2 dim-1,0.0627505053665075,0.1477365817192442,0.0697918759673631,-0.0849860763527366,-0.0070413706008555,dissim-14,amplitude-betti-2,dim-1,
4138,channel-19 life all percentile-25,0.1187792901498871,0.1476842758981588,0.1104818876340559,-0.0289049857482717,0.0082974025158311,channel-19,life,all,percentile-25
6900,channel-32 bd2 all sum,0.0665161589680908,0.1476458687258303,0.0623443778135928,-0.0811297097577394,0.0041717811544979,channel-32,bd2,all,sum
6906,channel-32 bd2 all norm-1,0.0665161589680908,0.1476458687258303,0.0623443778135928,-0.0811297097577394,0.0041717811544979,channel-32,bd2,all,norm-1
18784,dissim-22 bd2 dim-2 norm-1,0.0626977603538007,0.1476282690131258,0.0614793095403245,-0.0849305086593251,0.0012184508134761,dissim-22,bd2,dim-2,norm-1
18778,dissim-22 bd2 dim-2 sum,0.0626977603538007,0.1476282690131258,0.0614793095403245,-0.0849305086593251,0.0012184508134761,dissim-22,bd2,dim-2,sum
4686,channel-22 silhouette-2 dim-1 max,0.0861964776089836,0.1476202544914522,0.0897034134391826,-0.0614237768824686,-0.003506935830199,channel-22,silhouette-2,dim-1,max
17243,dissim-19 amplitude-bottleneck norm-2,0.0437222069100651,0.1474655009634191,0.0564213504375014,-0.1037432940533539,-0.0126991435274363,dissim-19,amplitude-bottleneck,norm-2,
8117,channel-38 amplitude-silhouette-2-1 dim-2,0.0713605973800488,0.1474445321552808,0.0637124033056183,-0.076083934775232,0.0076481940744304,channel-38,amplitude-silhouette-2-1,dim-2,
8045,channel-38 silhouette-1 dim-2 norm-2,0.0713605973800488,0.1474445321552808,0.0637124033056183,-0.076083934775232,0.0076481940744304,channel-38,silhouette-1,dim-2,norm-2
7055,channel-33 amplitude-landscape-2-2 dim-2,0.0991952193608736,0.1473843672147019,0.0935490945108797,-0.0481891478538283,0.0056461248499939,channel-33,amplitude-landscape-2-2,dim-2,
14686,dissim-13 bd2 all norm-2,0.0942886530729495,0.1473697312792945,0.0993143049260499,-0.0530810782063449,-0.0050256518531003,dissim-13,bd2,all,norm-2
18792,dissim-22 bd2 dim-3 percentile-75,0.0602931625346163,0.1473588604385372,0.060500912718387,-0.0870656979039208,-0.0002077501837707,dissim-22,bd2,dim-3,percentile-75
4789,channel-22 life dim-2 sum,0.0917493050908783,0.1473178077637257,0.0816222794120342,-0.0555685026728474,0.010127025678844,channel-22,life,dim-2,sum
4717,channel-22 amplitude-wasserstein-1 dim-2,0.0917493050908783,0.1473178077637257,0.0816222794120342,-0.0555685026728474,0.010127025678844,channel-22,amplitude-wasserstein-1,dim-2,
4795,channel-22 life dim-2 norm-1,0.0917493050908783,0.1473178077637257,0.0816222794120342,-0.0555685026728474,0.010127025678844,channel-22,life,dim-2,norm-1
6596,channel-31 silhouette-2 dim-2 norm-1,0.076592435215823,0.1471934742896922,0.078256286370426,-0.0706010390738691,-0.0016638511546029,channel-31,silhouette-2,dim-2,norm-1
6590,channel-31 silhouette-2 dim-2 sum,0.076592435215823,0.1471934742896922,0.078256286370426,-0.0706010390738691,-0.0016638511546029,channel-31,silhouette-2,dim-2,sum
6643,channel-31 amplitude-silhouette-1-2 dim-2,0.076592435215823,0.1471934742896922,0.078256286370426,-0.0706010390738691,-0.0016638511546029,channel-31,amplitude-silhouette-1-2,dim-2,
6588,channel-31 silhouette-2 dim-2 mean,0.076592435215823,0.1471934742896922,0.078256286370426,-0.0706010390738691,-0.0016638511546029,channel-31,silhouette-2,dim-2,mean
18886,dissim-23 landscape dim-2 mean,0.1002567523650179,0.1471469918646832,0.0954574420762275,-0.0468902394996652,0.0047993102887904,dissim-23,landscape,dim-2,mean
19085,dissim-23 amplitude-landscape-1-1 dim-2,0.1002567523650179,0.1471469918646832,0.0954574420762275,-0.0468902394996652,0.0047993102887904,dissim-23,amplitude-landscape-1-1,dim-2,
18888,dissim-23 landscape dim-2 sum,0.1002567523650179,0.1471469918646832,0.0954574420762275,-0.0468902394996652,0.0047993102887904,dissim-23,landscape,dim-2,sum
18894,dissim-23 landscape dim-2 norm-1,0.1002567523650179,0.1471469918646832,0.0954574420762275,-0.0468902394996652,0.0047993102887904,dissim-23,landscape,dim-2,norm-1
1141,channel-5 numberofpoints dim-2,0.0735244613652875,0.147112875475099,0.0636693906934901,-0.0735884141098114,0.0098550706717973,channel-5,numberofpoints,dim-2,
11627,dissim-7 landscape dim-1 mean,0.0707414263206378,0.1471042728616177,0.0526546957508466,-0.0763628465409798,0.0180867305697911,dissim-7,landscape,dim-1,mean
11629,dissim-7 landscape dim-1 sum,0.0707414263206378,0.1471042728616177,0.0526546957508466,-0.0763628465409798,0.0180867305697911,dissim-7,landscape,dim-1,sum
11635,dissim-7 landscape dim-1 norm-1,0.0707414263206378,0.1471042728616177,0.0526546957508466,-0.0763628465409798,0.0180867305697911,dissim-7,landscape,dim-1,norm-1
11836,dissim-7 amplitude-landscape-1-1 dim-1,0.0707414263206378,0.1471042728616177,0.0526546957508466,-0.0763628465409798,0.0180867305697911,dissim-7,amplitude-landscape-1-1,dim-1,
7310,channel-34 life dim-2 percentile-25,0.0894208325717507,0.1470768452479399,0.0757482040181978,-0.0576560126761891,0.0136726285535529,channel-34,life,dim-2,percentile-25
10620,dissim-4 bd2 dim-1 norm-2,0.0764155280011031,0.1470741729581787,0.0805215134954391,-0.0706586449570755,-0.0041059854943359,dissim-4,bd2,dim-1,norm-2
1956,channel-9 silhouette-2 dim-1 max,0.0955863286352088,0.1469402117818907,0.0896759500346687,-0.0513538831466818,0.00591037860054,channel-9,silhouette-2,dim-1,max
7877,channel-37 amplitude-betti-1 norm-2,0.0881698990085268,0.1469291325061879,0.0919435089699208,-0.0587592334976611,-0.003773609961394,channel-37,amplitude-betti-1,norm-2,
14227,dissim-12 bd2 all percentile-25,0.0882136160337037,0.1469096868906131,0.0918729758499807,-0.0586960708569093,-0.0036593598162769,dissim-12,bd2,all,percentile-25
4697,channel-22 silhouette-2 dim-2 max,0.1074330082960489,0.1469066858107672,0.1005921014821961,-0.0394736775147183,0.0068409068138527,channel-22,silhouette-2,dim-2,max
16846,dissim-18 amplitude-landscape-2-2 norm-2,0.0439562834060109,0.1468436045290374,0.0490555068201308,-0.1028873211230265,-0.0050992234141199,dissim-18,amplitude-landscape-2-2,norm-2,
2585,channel-12 silhouette-1 dim-2 norm-2,0.0722981429898413,0.1468260059227533,0.0901519555064973,-0.074527862932912,-0.017853812516656,channel-12,silhouette-1,dim-2,norm-2
2657,channel-12 amplitude-silhouette-2-1 dim-2,0.0722981429898413,0.1468260059227533,0.0901519555064973,-0.074527862932912,-0.017853812516656,channel-12,amplitude-silhouette-2-1,dim-2,
10146,dissim-3 bd2 all max,0.0528672910994588,0.1467904169591064,0.0530279427886436,-0.0939231258596475,-0.0001606516891847,dissim-3,bd2,all,max
321,channel-1 amplitude-betti-2 norm-2,0.1110196093191988,0.1467450841366779,0.1121648052329688,-0.0357254748174791,-0.00114519591377,channel-1,amplitude-betti-2,norm-2,
16841,dissim-18 amplitude-landscape-2-2 dim-2,0.0506692891894615,0.1467335467242669,0.045674350664845,-0.0960642575348053,0.0049949385246165,dissim-18,amplitude-landscape-2-2,dim-2,
15972,dissim-16 life all sum,0.071152502140162,0.1466819960358333,0.0522165245046733,-0.0755294938956713,0.0189359776354886,dissim-16,life,all,sum
15890,dissim-16 amplitude-wasserstein-1 norm-1,0.071152502140162,0.1466819960358333,0.0522165245046733,-0.0755294938956713,0.0189359776354886,dissim-16,amplitude-wasserstein-1,norm-1,
15978,dissim-16 life all norm-1,0.071152502140162,0.1466819960358333,0.0522165245046733,-0.0755294938956713,0.0189359776354886,dissim-16,life,all,norm-1
5060,channel-24 betti dim-2 norm-1,0.0706045696030782,0.1466657327693921,0.0591257993958853,-0.0760611631663138,0.0114787702071929,channel-24,betti,dim-2,norm-1
9109,dissim-1 amplitude-betti-1 norm-1,0.07383383051883,0.1466580020130393,0.0870557190623499,-0.0728241714942092,-0.0132218885435198,dissim-1,amplitude-betti-1,norm-1,
6829,channel-32 amplitude-betti-2 dim-2,0.1144894945874631,0.1466232322328907,0.0828342179005938,-0.0321337376454275,0.0316552766868693,channel-32,amplitude-betti-2,dim-2,
14553,dissim-13 amplitude-betti-2 norm-2,0.1035062083231547,0.1466191330667083,0.101856879364197,-0.0431129247435535,0.0016493289589576,dissim-13,amplitude-betti-2,norm-2,
18555,dissim-22 silhouette-2 dim-3 std,0.0382615772553064,0.1465935045166784,0.0594671868654407,-0.1083319272613719,-0.0212056096101343,dissim-22,silhouette-2,dim-3,std
3868,channel-18 entropy dim-1,0.1169717748237037,0.1465294547441518,0.1058365652136957,-0.029557679920448,0.011135209610008,channel-18,entropy,dim-1,
7137,channel-33 bd2 dim-2 skew,0.0361882811961523,0.146501580424594,0.0342363828259777,-0.1103132992284416,0.0019518983701746,channel-33,bd2,dim-2,skew
1139,channel-5 entropy dim-2,0.0780606655841717,0.1464439853832657,0.0741421147085998,-0.0683833197990939,0.0039185508755719,channel-5,entropy,dim-2,
2577,channel-12 silhouette-1 dim-2 std,0.0706518910137843,0.1464270139339088,0.0906641372117703,-0.0757751229201244,-0.0200122461979859,channel-12,silhouette-1,dim-2,std
5316,channel-25 silhouette-2 dim-1 max,0.1495768773496487,0.1464033160177285,0.1339343451784773,0.0031735613319202,0.0156425321711713,channel-25,silhouette-2,dim-1,max
11829,dissim-7 amplitude-betti-2 dim-1,0.0786493595698501,0.1463755110769883,0.0831736445185577,-0.0677261515071382,-0.0045242849487075,dissim-7,amplitude-betti-2,dim-1,
