index,name,score
179,channel-1 bd2 dim-2 mean,0.0647507437492544
180,channel-1 bd2 dim-2 std,0.0075971765585266
181,channel-1 bd2 dim-2 sum,0.0670024775371387
182,channel-1 bd2 dim-2 norm-1,0.0670024775371387
183,channel-1 bd2 dim-2 norm-2,0.0448404207437195
184,channel-2 entropy dim-1,0.1561631080514972
185,channel-2 entropy dim-2,0.03572622673169
186,channel-2 numberofpoints dim-1,0.1186148177757958
187,channel-2 numberofpoints dim-2,0.118639130968564
188,channel-2 amplitude-bottleneck dim-1,0.2044061612759747
189,channel-2 amplitude-bottleneck dim-2,0.0211906130010707
190,channel-2 amplitude-bottleneck norm-1,0.1947239837044538
191,channel-2 amplitude-bottleneck norm-2,0.2472037323127211
192,channel-2 amplitude-wasserstein-1 dim-1,0.0839764173256545
193,channel-2 amplitude-wasserstein-1 dim-2,0.0349773154977474
194,channel-2 amplitude-wasserstein-1 norm-1,0.1422770337738962
195,channel-2 amplitude-wasserstein-1 norm-2,0.0878818416284424
196,channel-2 amplitude-wasserstein-2 dim-1,0.140084734855551
197,channel-2 amplitude-wasserstein-2 dim-2,0.0244216758031108
198,channel-2 amplitude-wasserstein-2 norm-1,0.0832529288239774
199,channel-2 amplitude-wasserstein-2 norm-2,0.1502386647892648
200,channel-2 amplitude-betti-1 dim-1,0.0940840423219396
201,channel-2 amplitude-betti-1 dim-2,0.0302601164549127
202,channel-2 amplitude-betti-1 norm-1,0.1443619313783721
203,channel-2 amplitude-betti-1 norm-2,0.074228924450449
204,channel-2 amplitude-betti-2 dim-1,0.1142813038271168
205,channel-2 amplitude-betti-2 dim-2,0.0717138424644247
206,channel-2 amplitude-betti-2 norm-1,0.1202365697168121
207,channel-2 amplitude-betti-2 norm-2,0.1180190303953
208,channel-2 amplitude-landscape-1-1 dim-1,0.3004175489362204
209,channel-2 amplitude-landscape-1-1 dim-2,0.1208835173798639
210,channel-2 amplitude-landscape-1-1 norm-1,0.2952901104559973
211,channel-2 amplitude-landscape-1-1 norm-2,0.300529853172805
212,channel-2 amplitude-landscape-1-2 dim-1,0.3196120642814647
213,channel-2 amplitude-landscape-1-2 dim-2,0.0905743571650055
214,channel-2 amplitude-landscape-1-2 norm-1,0.266859678562982
215,channel-2 amplitude-landscape-1-2 norm-2,0.2687025362657151
216,channel-2 amplitude-landscape-2-1 dim-1,0.2219899622221324
217,channel-2 amplitude-landscape-2-1 dim-2,0.1735673842117984
218,channel-2 amplitude-landscape-2-1 norm-1,0.2180825505350308
219,channel-2 amplitude-landscape-2-1 norm-2,0.2219662453729103
220,channel-2 amplitude-landscape-2-2 dim-1,0.2168291747024112
221,channel-2 amplitude-landscape-2-2 dim-2,0.1330075586719289
222,channel-2 amplitude-landscape-2-2 norm-1,0.22068478584201
223,channel-2 amplitude-landscape-2-2 norm-2,0.2364825411968849
224,channel-2 amplitude-silhouette-1-1 dim-1,0.3150277306673942
225,channel-2 amplitude-silhouette-1-1 dim-2,0.1409971055603241
226,channel-2 amplitude-silhouette-1-1 norm-1,0.3134758194998632
227,channel-2 amplitude-silhouette-1-1 norm-2,0.3172299097894177
228,channel-2 amplitude-silhouette-1-2 dim-1,0.3024319925705727
229,channel-2 amplitude-silhouette-1-2 dim-2,0.196780294847904
230,channel-2 amplitude-silhouette-1-2 norm-1,0.3003250627611918
231,channel-2 amplitude-silhouette-1-2 norm-2,0.2966747147400214
232,channel-2 amplitude-silhouette-2-1 dim-1,0.3136561786497455
233,channel-2 amplitude-silhouette-2-1 dim-2,0.1412879403587988
234,channel-2 amplitude-silhouette-2-1 norm-1,0.2232639550977247
235,channel-2 amplitude-silhouette-2-1 norm-2,0.3282841927960173
236,channel-2 amplitude-silhouette-2-2 dim-1,0.2949663098867644
237,channel-2 amplitude-silhouette-2-2 dim-2,0.0612340641592937
238,channel-2 amplitude-silhouette-2-2 norm-1,0.2980325987154945
239,channel-2 amplitude-silhouette-2-2 norm-2,0.3166588032246475
240,channel-2 life all max,0.2045479366518666
241,channel-2 life all mean,0.1231312290951266
242,channel-2 life all std,0.1909367370477785
243,channel-2 life all sum,0.1422770337738962
244,channel-2 life all norm-1,0.1422770337738962
245,channel-2 life all norm-2,0.1502386647892656
246,channel-2 life dim-1 max,0.2044061612759747
247,channel-2 life dim-1 mean,0.1261101655498029
248,channel-2 life dim-1 std,0.192123290173366
249,channel-2 life dim-1 sum,0.0839764173256545
250,channel-2 life dim-1 norm-1,0.0839764173256545
251,channel-2 life dim-1 norm-2,0.140084734855551
252,channel-2 life dim-2 max,0.0211906130010707
253,channel-2 life dim-2 mean,0.0463204449975561
254,channel-2 life dim-2 std,0.1075751130838847
255,channel-2 life dim-2 sum,0.0349773154977474
256,channel-2 life dim-2 norm-1,0.0349773154977474
257,channel-2 life dim-2 norm-2,0.0244216758031108
258,channel-2 bd2 all max,0.0995175337371848
259,channel-2 bd2 all mean,0.0308316407581554
260,channel-2 bd2 all std,0.1410800991979629
261,channel-2 bd2 all sum,0.0592977731602696
262,channel-2 bd2 all norm-1,0.0592977731602696
263,channel-2 bd2 all norm-2,0.1344254840873666
264,channel-2 bd2 dim-1 max,0.1368853693737356
265,channel-2 bd2 dim-1 mean,0.0881189017024839
266,channel-2 bd2 dim-1 std,0.1756491728466795
267,channel-2 bd2 dim-1 sum,0.1604963496690388
268,channel-2 bd2 dim-1 norm-1,0.1604963496690388
269,channel-2 bd2 dim-1 norm-2,0.0523773117503382
270,channel-2 bd2 dim-2 max,0.0980708779370098
271,channel-2 bd2 dim-2 mean,0.1420796397031993
272,channel-2 bd2 dim-2 std,0.0664900380375266
273,channel-2 bd2 dim-2 sum,0.0385693040085769
274,channel-2 bd2 dim-2 norm-1,0.0385693040085769
275,channel-2 bd2 dim-2 norm-2,0.0516973914565016
276,channel-3 entropy dim-1,0.0702951648833272
277,channel-3 entropy dim-2,0.0381634488214486
278,channel-3 numberofpoints dim-1,0.0333934114236402
279,channel-3 numberofpoints dim-2,0.0824473881825372
280,channel-3 amplitude-bottleneck dim-1,0.0223472814402216
281,channel-3 amplitude-bottleneck dim-2,-0.010420320515987
282,channel-3 amplitude-bottleneck norm-1,0.0452306571596708
283,channel-3 amplitude-bottleneck norm-2,0.0219722607543428
284,channel-3 amplitude-wasserstein-1 dim-1,0.1499974956226955
285,channel-3 amplitude-wasserstein-1 dim-2,0.0279668566153957
286,channel-3 amplitude-wasserstein-1 norm-1,0.1323946822081608
287,channel-3 amplitude-wasserstein-1 norm-2,0.1563675536968266
288,channel-3 amplitude-wasserstein-2 dim-1,0.0403928086345795
289,channel-3 amplitude-wasserstein-2 dim-2,0.0206644030141308
290,channel-3 amplitude-wasserstein-2 norm-1,0.0342478661029359
291,channel-3 amplitude-wasserstein-2 norm-2,0.0634303537242063
292,channel-3 amplitude-betti-1 dim-1,0.1261676834313918
293,channel-3 amplitude-betti-1 dim-2,0.0659026564246373
294,channel-3 amplitude-betti-1 norm-1,0.1598364504097313
295,channel-3 amplitude-betti-1 norm-2,0.1550106821355876
296,channel-3 amplitude-betti-2 dim-1,0.128188909067992
297,channel-3 amplitude-betti-2 dim-2,0.0737745448102488
298,channel-3 amplitude-betti-2 norm-1,0.0950323124846296
299,channel-3 amplitude-betti-2 norm-2,0.1003137138391023
300,channel-3 amplitude-landscape-1-1 dim-1,0.0127591648034157
301,channel-3 amplitude-landscape-1-1 dim-2,0.0131103281831495
302,channel-3 amplitude-landscape-1-1 norm-1,0.063527784684499
