name,unique_values,score,normalized_score,IV,normalized_iv,QSDA_IDX,IV_IDX,IDX_DIFF,Source,Algorithm,Dimension,Stat
channel-0 silhouette-2 dim-2 std,2017,0.9833827189466474,0.1667378707836123,0.2506515091995596,0.22001702989825453,3623,2336,1287,channel-0,silhouette-2,dim-2,std
channel-0 silhouette-2 dim-2 sum,2017,1.18910264294615,0.2016187990779243,0.33473376415986167,0.2938228013559671,2750,1529,1221,channel-0,silhouette-2,dim-2,sum
channel-0 silhouette-2 dim-2 percentile-25,1,0.0,0.0,0.0,0.0,16015,17705,-1690,channel-0,silhouette-2,dim-2,percentile-25
channel-0 silhouette-2 dim-2 median,1,0.0,0.0,0.0,0.0,16016,17706,-1690,channel-0,silhouette-2,dim-2,median
channel-0 silhouette-2 dim-2 percentile-75,3,0.0,0.0,0.01162161264063966,0.010201226012909407,16017,15979,38,channel-0,silhouette-2,dim-2,percentile-75
channel-0 silhouette-2 dim-2 kurtosis,2017,0.5807163429681255,0.0984636039358797,0.26899743658519165,0.2361207288825769,6666,2111,4555,channel-0,silhouette-2,dim-2,kurtosis
channel-0 silhouette-2 dim-2 skew,2017,0.4049426552992136,0.0686602223459616,0.286082948370201,0.25111805951598837,9058,1949,7109,channel-0,silhouette-2,dim-2,skew
channel-0 silhouette-2 dim-2 norm-1,2017,1.18910264294615,0.2016187990779243,0.33473376415986167,0.2938228013559671,2749,1526,1223,channel-0,silhouette-2,dim-2,norm-1
channel-0 silhouette-2 dim-2 norm-2,2017,0.9167197506440165,0.1554348031368651,0.25546536351860394,0.22424253778775932,3929,2292,1637,channel-0,silhouette-2,dim-2,norm-2
channel-0 entropy dim-1,2017,0.389772035947988,0.0660879615970626,0.28662498839164974,0.2515938517264003,9264,1946,7318,channel-0,entropy,dim-1,
channel-0 entropy dim-2,2017,0.1840719282814586,0.0312103932694279,0.0778480516614238,0.0683335088011608,12838,6758,6080,channel-0,entropy,dim-2,
channel-0 numberofpoints dim-1,58,0.0,0.0,0.06493419566202935,0.05699797664899487,16018,8417,7601,channel-0,numberofpoints,dim-1,
channel-0 numberofpoints dim-2,40,0.0,0.0,0.051086732725409395,0.04484294244764231,16019,11374,4645,channel-0,numberofpoints,dim-2,
channel-0 amplitude-bottleneck dim-1,2017,0.860866343414046,0.1459645551671725,0.5759866268281919,0.5055898817467632,4254,390,3864,channel-0,amplitude-bottleneck,dim-1,
channel-0 amplitude-bottleneck dim-2,2016,0.7850448558061969,0.1331086109251172,0.34503908059689037,0.3028686081092452,4802,1441,3361,channel-0,amplitude-bottleneck,dim-2,
channel-0 amplitude-bottleneck norm-1,2017,0.9563971124347556,0.162162314914157,0.626926012883865,0.5503034861475519,3725,293,3432,channel-0,amplitude-bottleneck,norm-1,
channel-0 amplitude-bottleneck norm-2,2017,0.954552537027324,0.1618495571546304,0.5911783047038524,0.5189248417318345,3740,362,3378,channel-0,amplitude-bottleneck,norm-2,
channel-0 amplitude-wasserstein-1 dim-1,2017,0.993618190554886,0.1684733504799119,0.7252126192697763,0.6365775615954289,3563,155,3408,channel-0,amplitude-wasserstein-1,dim-1,
channel-0 amplitude-wasserstein-1 dim-2,2016,0.7215715149165631,0.1223463618967874,0.29468419769692633,0.2586680692339582,5340,1868,3472,channel-0,amplitude-wasserstein-1,dim-2,
channel-0 amplitude-wasserstein-1 norm-1,2017,0.9992383980527696,0.1694262871275713,0.6990689158999477,0.6136291261986522,3525,184,3341,channel-0,amplitude-wasserstein-1,norm-1,
channel-0 amplitude-wasserstein-1 norm-2,2017,1.0007427501863992,0.16968135818672,0.7235311228579797,0.6351015766811968,3517,159,3358,channel-0,amplitude-wasserstein-1,norm-2,
channel-0 amplitude-wasserstein-2 dim-1,2017,1.2756205123269728,0.2162883728332424,0.8414161710073451,0.7385787839242868,2460,76,2384,channel-0,amplitude-wasserstein-2,dim-1,
channel-0 amplitude-wasserstein-2 dim-2,2017,0.8138867075147534,0.137998903230124,0.3910122355152348,0.3432229512069098,4581,1081,3500,channel-0,amplitude-wasserstein-2,dim-2,
channel-0 amplitude-wasserstein-2 norm-1,2017,1.1373369382671483,0.1928416432346373,0.7953837006016035,0.6981723748430348,2961,103,2858,channel-0,amplitude-wasserstein-2,norm-1,
channel-0 amplitude-wasserstein-2 norm-2,2017,1.16631549696133,0.1977551149501271,0.8519988098787618,0.7478680189279394,2841,62,2779,channel-0,amplitude-wasserstein-2,norm-2,
channel-0 amplitude-betti-1 dim-1,199,0.0,0.0,0.7250165601030698,0.6364054646641922,16039,157,15882,channel-0,amplitude-betti-1,dim-1,
channel-0 amplitude-betti-1 dim-2,59,0.0,0.0,0.2916261627781071,0.2559837855353985,16022,1902,14120,channel-0,amplitude-betti-1,dim-2,
channel-0 amplitude-betti-1 norm-1,1467,1.152160975724696,0.1953551391446891,0.6993250745050622,0.6138539772504578,2886,181,2705,channel-0,amplitude-betti-1,norm-1,
channel-0 amplitude-betti-1 norm-2,1467,0.998640187822368,0.169324857340189,0.7270663461328952,0.6382047270570232,3533,153,3380,channel-0,amplitude-betti-1,norm-2,
channel-0 amplitude-betti-2 dim-1,1505,0.4885855678005644,0.0828423315776085,0.2748715975937336,0.24127695340470637,7831,2069,5762,channel-0,amplitude-betti-2,dim-1,
channel-0 amplitude-betti-2 dim-2,244,0.3728678084338462,0.0632217581864832,0.1364835601747638,0.11980262012180212,9533,4565,4968,channel-0,amplitude-betti-2,dim-2,
channel-0 amplitude-betti-2 norm-1,2010,0.4799826836947049,0.0813836659423758,0.2643942499515497,0.23208014099848437,7932,2164,5768,channel-0,amplitude-betti-2,norm-1,
channel-0 amplitude-betti-2 norm-2,2010,0.5168250150487482,0.087630482940805,0.26952214836227867,0.23658131069641072,7428,2107,5321,channel-0,amplitude-betti-2,norm-2,
channel-0 amplitude-landscape-1-1 dim-1,2017,1.3102399770782738,0.2221582907493141,0.7665906099204073,0.6728983586861075,2338,128,2210,channel-0,amplitude-landscape-1-1,dim-1,
channel-0 amplitude-landscape-1-1 dim-2,2017,1.3111495757078415,0.2223125181277699,0.49669780201083913,0.43599169023319057,2330,648,1682,channel-0,amplitude-landscape-1-1,dim-2,
channel-0 amplitude-landscape-1-1 norm-1,2017,1.20299492379455,0.2039743106039672,0.8425168166378183,0.7395449092963642,2691,74,2617,channel-0,amplitude-landscape-1-1,norm-1,
