index,name,score,mean,variance,unique_values
87,channel-0 bd2 dim-2 mean,0.3995610488285859,8.151541901645509e-17,1.0000000000000002,1043
88,channel-0 bd2 dim-2 std,0.9160852261190993,8.151541901645509e-17,1.0,1024
89,channel-0 bd2 dim-2 sum,0.38759966704554033,4.0757709508227546e-17,1.0,1043
90,channel-0 bd2 dim-2 norm-1,0.38759966704554033,4.0757709508227546e-17,1.0,1043
91,channel-0 bd2 dim-2 norm-2,0.204566385679182,3.056828213117066e-16,1.0,1043
92,channel-1 entropy dim-1,1.0518570832709346,-7.336387711480958e-16,0.9999999999999998,1046
93,channel-1 entropy dim-2,0.28669505733525474,3.7361233715875247e-16,0.9999999999999998,1023
94,channel-1 numberofpoints dim-1,0.5899133062887083,2.5813216021877447e-16,1.0,70
95,channel-1 numberofpoints dim-2,0.36497800772190975,3.3964757923522954e-17,1.0,31
96,channel-1 amplitude-bottleneck dim-1,0.8990765714187219,-1.0868722535527345e-16,1.0,1046
97,channel-1 amplitude-bottleneck dim-2,0.4472857248553441,8.151541901645509e-17,1.0,1043
98,channel-1 amplitude-bottleneck norm-1,0.7965996856682719,1.3585903169409181e-17,0.9999999999999998,1046
99,channel-1 amplitude-bottleneck norm-2,0.9120156407136877,8.151541901645509e-17,1.0,1046
100,channel-1 amplitude-wasserstein-1 dim-1,0.5783188280825095,1.3585903169409182e-16,1.0000000000000002,1046
101,channel-1 amplitude-wasserstein-1 dim-2,0.12562307967063804,2.0378854754113773e-17,0.9999999999999996,1043
102,channel-1 amplitude-wasserstein-1 norm-1,0.4908834741558722,-2.173744507105469e-16,1.0,1046
103,channel-1 amplitude-wasserstein-1 norm-2,0.5620660509036798,5.162643204375489e-16,1.0,1046
104,channel-1 amplitude-wasserstein-2 dim-1,0.6115416960713681,-2.479427328417176e-16,1.0,1046
105,channel-1 amplitude-wasserstein-2 dim-2,0.2266829929402023,-3.056828213117066e-16,0.9999999999999998,1043
106,channel-1 amplitude-wasserstein-2 norm-1,0.555438779804557,4.755066109293214e-17,1.0,1046
107,channel-1 amplitude-wasserstein-2 norm-2,0.566279771157026,2.309603538799561e-16,0.9999999999999998,1046
108,channel-1 amplitude-betti-1 dim-1,0.48768283714582894,-6.792951584704591e-17,0.9999999999999998,116
109,channel-1 amplitude-betti-1 dim-2,0.10998506431340672,-1.0189427377056886e-17,0.9999999999999998,30
110,channel-1 amplitude-betti-1 norm-1,0.4540259768908579,-1.0868722535527345e-16,1.0,723
111,channel-1 amplitude-betti-1 norm-2,0.4669116265469664,9.510132218586428e-17,1.0,723
112,channel-1 amplitude-betti-2 dim-1,0.550695180723534,5.706079331151856e-16,1.0,787
113,channel-1 amplitude-betti-2 dim-2,0.15871682103624937,3.3964757923522954e-17,1.0,83
114,channel-1 amplitude-betti-2 norm-1,0.5327583830414411,-6.792951584704591e-17,0.9999999999999998,1038
115,channel-1 amplitude-betti-2 norm-2,0.5494060938779484,2.173744507105469e-16,1.0000000000000002,1038
116,channel-1 amplitude-landscape-1-1 dim-1,1.150785329754387,-4.0757709508227546e-17,1.0,1046
117,channel-1 amplitude-landscape-1-1 dim-2,0.5541314985597663,5.774008846998903e-17,1.0000000000000002,1015
118,channel-1 amplitude-landscape-1-1 norm-1,1.1333960173321653,-4.0757709508227546e-17,0.9999999999999998,1046
119,channel-1 amplitude-landscape-1-1 norm-2,1.1496365015542525,2.7171806338818362e-17,1.0,1046
