St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
60,40,20,Mode,40,[   0  110  261  304  556  682  800  856  976 1046],9,252,43,116.22222222222223,390.5264460164036,2.5370877,0.035771117,501.80749432438864,4.13196964545275,0.3713444173336029,203.61809834252705,1.1246905517486736
60,40,20,Median,40,[   0  110  261  304  556  682  800  856  976 1046],9,252,43,116.22222222222223,390.5264460164036,2.5370877,0.035771117,501.80749432438864,4.13196964545275,0.3713444173336029,203.61809834252705,1.1246905517486736
60,40,20,Mode,40,[   0  110  261  304  556  682  800  856  976 1046],9,252,43,116.22222222222223,390.5264460164036,2.5370877,0.035771117,501.80749432438864,4.13196964545275,0.3713444173336029,203.61809834252705,1.1246905517486736
60,40,20,Median,40,[   0  110  261  329  556  682  800  856  976 1046],9,227,56,116.22222222222223,414.3501956784618,2.5376182,0.03779345,504.91941501130987,3.74743246877403,0.3661019504070282,212.6055095096926,1.1229288381298501
60,40,20,Mode,40,[   0  110  261  329  556  682  800  856  976 1046],9,227,56,116.22222222222223,414.3501956784618,2.5376182,0.03779345,504.91941501130987,3.74743246877403,0.3661019504070282,212.6055095096926,1.1229288381298501
60,45,10,Median,40,[   0  277 1046],2,769,277,523.0,5681.636229557281,5.2820134,0.5694362,1451.4942089850906,0.612705807594257,0.5694361925125122,1451.4942089850906,0.612705807594257
60,45,10,Mode,40,[   0  304 1046],2,742,304,523.0,5302.199069595152,4.9585547,0.5212171,1239.475939779142,0.7229531327373389,0.5212171077728271,1239.475939779142,0.7229531327373389
60,45,10,Median,40,[   0  277  667  800 1046],4,390,133,261.5,1781.6954309956327,3.2184932,0.16888812,616.7683942218314,3.797552187104432,0.33237728476524353,523.15366750375,1.1181338013808932
60,45,10,Mode,40,[   0  304 1046],2,742,304,523.0,5302.199069595152,4.9585547,0.5212171,1239.475939779142,0.7229531327373389,0.5212171077728271,1239.475939779142,0.7229531327373389
60,45,10,Median,40,[   0  277  556  681  800 1046],5,279,119,209.2,1493.2711604962733,3.7544894,0.19350143,694.1900187507609,1.828645850127522,0.48806148767471313,671.8838205248396,0.7453797680438623
60,45,10,Mode,40,[   0  304  556  681  842 1046],5,304,125,209.2,1370.7108039238249,3.5429013,0.16597986,570.0847878201631,1.79947693860139,0.4550651013851166,528.9743886602643,0.8334580556109696
60,45,10,Median,40,[   0  277  556  681  800 1046],5,279,119,209.2,1493.2711604962733,3.7544894,0.19350143,694.1900187507609,1.828645850127522,0.48806148767471313,671.8838205248396,0.7453797680438623
60,45,10,Mode,40,[   0  110  304  556  681  842 1046],6,252,110,174.33333333333334,897.5765913436504,3.0910094,0.02843441,519.1002894238798,1.8781493913317238,0.373611718416214,360.44004677335505,0.9891188216379942
60,45,10,Median,40,[   0  277  556  681  800 1046],5,279,119,209.2,1493.2711604962733,3.7544894,0.19350143,694.1900187507609,1.828645850127522,0.48806148767471313,671.8838205248396,0.7453797680438623
60,45,10,Mode,40,[   0  110  304  556  681  842  976 1046],7,252,70,149.42857142857142,844.6376964310213,3.15466,0.02514613,508.3416840039523,2.616905805687979,0.40362799167633057,366.0605875378085,0.9190421746332365
60,45,10,Median,40,[   0  250  304  556  681  800  976 1046],7,252,54,149.42857142857142,586.8435268632104,2.9862509,0.14943564,551.3935092776301,2.4723959035241143,0.40916478633880615,284.42123023632513,1.0261980281259981
60,45,10,Mode,40,[   0  227  304  556  681  842  976 1046],7,252,70,149.42857142857142,647.8683558018228,3.067653,0.12236424,571.2906219333568,2.5663764469665504,0.4372638165950775,312.870574745408,0.9413415203394201
60,45,10,Median,40,[   0  250  304  556  681  842  976 1046],7,252,54,149.42857142857142,619.0395106020584,3.0545073,0.15094249,590.5215907709877,2.603746339857642,0.4381604492664337,304.29439871697525,0.9577278999838484
60,45,10,Mode,40,[   0  227  304  556  681  842  976 1046],7,252,70,149.42857142857142,647.8683558018228,3.067653,0.12236424,571.2906219333568,2.5663764469665504,0.4372638165950775,312.870574745408,0.9413415203394201
60,45,10,Median,40,[   0  269  556  681  842  976 1046],6,287,70,174.33333333333334,1316.2627750284335,3.6104004,0.18406257,672.8581002916721,3.1060289234025995,0.4921145439147949,608.2030751082573,0.7566406439050597
60,45,10,Mode,40,[   0  227  277  556  681  842  976 1046],7,279,50,149.42857142857142,622.5195095019734,3.0726073,0.10779492,605.5476630635461,2.8614173438820822,0.44868338108062744,310.28578183411935,0.9003180254585774
