index,name,score,mean,variance,unique_values,edges,min_stage_length
118,channel-1 amplitude-landscape-1-1 norm-1,0.1894863743079297,2.879291651525312e-11,1.4035684433084693e-21,1046,"[0, 524, 558, 648, 659, 1046]",11.0
119,channel-1 amplitude-landscape-1-1 norm-2,0.1954663408613062,2.7773148149889304e-11,1.3928156625702136e-21,1046,"[0, 524, 558, 648, 659, 1046]",11.0
120,channel-1 amplitude-landscape-1-2 dim-1,0.3122484371641519,4.0018807166635286e-11,1.951182400136244e-21,1046,"[0, 200, 558, 659, 970, 1046]",76.0
121,channel-1 amplitude-landscape-1-2 dim-2,0.0385022334167765,1.2745242643495205e-12,3.4236482404308174e-24,1015,"[0, 90, 478, 682, 765, 1046]",83.0
122,channel-1 amplitude-landscape-1-2 norm-1,0.2708008119124654,4.1293331430984794e-11,1.9768478324796148e-21,1046,"[0, 90, 558, 659, 970, 1046]",76.0
123,channel-1 amplitude-landscape-1-2 norm-2,0.3119863418167302,4.007813823087112e-11,1.9514752303307264e-21,1046,"[0, 200, 558, 659, 970, 1046]",76.0
124,channel-1 amplitude-landscape-2-1 dim-1,0.1612534827355149,8.27783364031728e-09,6.115655819481738e-17,1046,"[0, 50, 524, 558, 659, 1046]",34.0
125,channel-1 amplitude-landscape-2-1 dim-2,0.0998953407451526,6.431199812717824e-10,5.363863006627859e-19,1015,"[0, 86, 303, 682, 765, 1046]",83.0
126,channel-1 amplitude-landscape-2-1 norm-1,0.2290801233897276,8.920953621589063e-09,6.254382129629481e-17,1046,"[0, 86, 524, 659, 970, 1046]",76.0
127,channel-1 amplitude-landscape-2-1 norm-2,0.3199948980803474,8.336370643440755e-09,6.113346720461176e-17,1046,"[0, 50, 558, 659, 998, 1046]",48.0
128,channel-1 amplitude-landscape-2-2 dim-1,0.2414637494167498,9.558241709350515e-09,6.593198996212276e-17,1046,"[0, 81, 539, 658, 970, 1046]",76.0
129,channel-1 amplitude-landscape-2-2 dim-2,0.0956437206246222,6.743379884480846e-10,5.66445275574194e-19,1015,"[0, 86, 303, 682, 765, 1046]",83.0
130,channel-1 amplitude-landscape-2-2 norm-1,0.2582515635329907,1.02325796977986e-08,6.790551256343182e-17,1046,"[0, 81, 558, 659, 970, 1046]",76.0
131,channel-1 amplitude-landscape-2-2 norm-2,0.1798588218256213,9.6103023690882e-09,6.595472010528486e-17,1046,"[0, 50, 538, 658, 855, 1046]",50.0
132,channel-1 amplitude-silhouette-1-1 dim-1,0.2317868770477,7.059277508487792e-12,2.27916284081026e-22,1046,"[0, 524, 558, 647, 659, 1046]",12.0
133,channel-1 amplitude-silhouette-1-1 dim-2,-0.0395880492451352,4.2682983181740133e-13,1.0431896965252586e-24,1015,"[0, 86, 555, 719, 999, 1046]",47.0
134,channel-1 amplitude-silhouette-1-1 norm-1,0.2182513369020295,7.486107340305194e-12,2.294331494544133e-22,1046,"[0, 524, 558, 647, 659, 1046]",12.0
135,channel-1 amplitude-silhouette-1-1 norm-2,0.2283624258260967,7.1383504444255346e-12,2.2801810939133943e-22,1046,"[0, 524, 558, 647, 659, 1046]",12.0
136,channel-1 amplitude-silhouette-1-2 dim-1,0.3094645895352918,1.3614781425788912e-11,8.331272132928326e-22,1046,"[0, 524, 558, 614, 654, 1046]",34.0
137,channel-1 amplitude-silhouette-1-2 dim-2,-0.0180661557432065,5.863646236939057e-13,1.7341995359796295e-24,1015,"[0, 86, 475, 717, 852, 1046]",86.0
138,channel-1 amplitude-silhouette-1-2 norm-1,0.3034457552633035,1.4201146049482818e-11,8.346848968813613e-22,1046,"[0, 524, 558, 614, 654, 1046]",34.0
139,channel-1 amplitude-silhouette-1-2 norm-2,0.3051516324354577,1.3708442620170031e-11,8.326439905957137e-22,1046,"[0, 524, 558, 614, 655, 1046]",34.0
140,channel-1 amplitude-silhouette-2-1 dim-1,0.2265551478508101,2.118500203583328e-09,9.707890121494236e-18,1046,"[0, 524, 558, 648, 659, 1046]",11.0
141,channel-1 amplitude-silhouette-2-1 dim-2,-0.096046121197834,2.643666642279963e-10,2.26349962569842e-19,1015,"[0, 86, 555, 719, 930, 1046]",86.0
142,channel-1 amplitude-silhouette-2-1 norm-1,0.1321088118885193,2.3828668678113247e-09,1.0055101381708369e-17,1046,"[0, 521, 558, 655, 760, 1046]",37.0
143,channel-1 amplitude-silhouette-2-1 norm-2,0.2110050610438542,2.1753786712241728e-09,9.759733734510552e-18,1046,"[0, 524, 557, 648, 659, 1046]",11.0
144,channel-1 amplitude-silhouette-2-2 dim-1,0.2284966927912317,4.068095872011297e-09,3.8804639978708736e-17,1046,"[0, 524, 558, 647, 659, 1046]",12.0
145,channel-1 amplitude-silhouette-2-2 dim-2,-0.0105141065500759,3.7660670539554894e-10,3.932957098411322e-19,1015,"[0, 86, 475, 716, 852, 1046]",86.0
146,channel-1 amplitude-silhouette-2-2 norm-1,0.2606012503870867,4.444702577406847e-09,3.9248450778377257e-17,1046,"[0, 524, 558, 601, 659, 1046]",34.0
147,channel-1 amplitude-silhouette-2-2 norm-2,0.1135735983139549,4.1384066605073305e-09,3.876234620169884e-17,1046,"[0, 524, 558, 658, 711, 1046]",34.0
148,channel-1 life all max,0.1934329080272018,8.128726086705166e-06,2.5111345307444198e-11,1046,"[0, 67, 529, 654, 919, 1046]",67.0
149,channel-1 life all mean,0.0852888300299565,1.4692449320134172e-06,3.18084419364556e-13,1046,"[0, 122, 516, 659, 876, 1046]",122.0
150,channel-1 life all std,0.2124028349512095,1.632859897170766e-06,8.802632346447525e-13,1046,"[0, 90, 524, 659, 970, 1046]",76.0
151,channel-1 life all sum,0.0602705603830506,8.627711688906951e-05,6.056861320555764e-10,1046,"[0, 199, 341, 682, 876, 1046]",142.0
152,channel-1 life all norm-1,0.0602705603830506,8.627711688906951e-05,6.056861320555764e-10,1046,"[0, 199, 341, 682, 876, 1046]",142.0
153,channel-1 life all norm-2,0.0912658400569043,1.6565353714257633e-05,3.396092625522015e-11,1046,"[0, 90, 513, 659, 876, 1046]",90.0
154,channel-1 life dim-1 max,0.1940317092987406,8.126867716007135e-06,2.5116975864838063e-11,1046,"[0, 65, 529, 654, 916, 1046]",65.0
155,channel-1 life dim-1 mean,0.0730778261526015,1.6125663712859786e-06,3.9221895851805737e-13,1046,"[0, 90, 404, 659, 984, 1046]",62.0
156,channel-1 life dim-1 std,0.1778151873153486,1.6918313208730184e-06,9.681179159509118e-13,1046,"[0, 83, 521, 659, 905, 1046]",83.0
157,channel-1 life dim-1 sum,0.0609615497600164,8.163352512642971e-05,5.345304436176491e-10,1046,"[0, 199, 341, 682, 877, 1046]",142.0
158,channel-1 life dim-1 norm-1,0.0609615497600164,8.163352512642971e-05,5.345304436176491e-10,1046,"[0, 199, 341, 682, 877, 1046]",142.0
159,channel-1 life dim-1 norm-2,0.0927109210524591,1.6411451451642514e-05,3.367968854716316e-11,1046,"[0, 90, 513, 659, 863, 1046]",90.0
160,channel-1 life dim-2 max,-0.0369707762409701,1.3933853900530448e-06,1.0751910605822668e-12,1043,"[0, 86, 555, 682, 999, 1046]",47.0
161,channel-1 life dim-2 mean,0.0308819160693891,5.551065825538233e-07,1.558858655689584e-13,1043,"[0, 86, 337, 682, 842, 1046]",86.0
162,channel-1 life dim-2 std,-0.0436179437373114,4.114729791234098e-07,1.1689741383972632e-13,1023,"[0, 86, 552, 701, 999, 1046]",47.0
163,channel-1 life dim-2 sum,0.0417240496916617,4.643591762639793e-06,8.906705372390594e-12,1043,"[0, 321, 547, 665, 828, 1046]",118.0
164,channel-1 life dim-2 norm-1,0.0417240496916617,4.643591762639793e-06,8.906705372390594e-12,1043,"[0, 321, 547, 665, 828, 1046]",118.0
165,channel-1 life dim-2 norm-2,0.0237963449654184,1.970357067328289e-06,1.4752771932810536e-12,1043,"[0, 136, 505, 673, 834, 1046]",136.0
166,channel-1 bd2 all max,0.0915747123450067,1.8085646751732008e-05,4.124298879792744e-11,1046,"[0, 86, 392, 649, 977, 1046]",69.0
167,channel-1 bd2 all mean,0.0225248491631642,9.96431738018059e-06,7.097965280502069e-12,1046,"[0, 117, 367, 623, 907, 1046]",117.0
168,channel-1 bd2 all std,0.0944388347612118,2.738958125967565e-06,2.124072955268103e-12,1046,"[0, 86, 365, 649, 979, 1046]",67.0
169,channel-1 bd2 all sum,0.1282854531366344,0.0006036964519776,2.576775661744868e-08,1046,"[0, 336, 555, 682, 876, 1046]",127.0
170,channel-1 bd2 all norm-1,0.1282854531366344,0.0006036964519776,2.576775661744868e-08,1046,"[0, 336, 555, 682, 876, 1046]",127.0
171,channel-1 bd2 all norm-2,0.0871343675147185,7.980334063720001e-05,3.5053424355763216e-10,1046,"[0, 106, 309, 701, 876, 1046]",106.0
172,channel-1 bd2 dim-1 max,0.0350340251418774,1.5493640927269142e-05,3.0204168909319446e-11,1046,"[0, 86, 372, 647, 888, 1046]",86.0
