,St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold,AMI,ARI,FMI
318,0,50,20,Median,40,[   0   71  753 1295 1881 1922],5,682,41,384.4,74370.99671473318,26.90077336162483,0.08109492523571538,117.6961670251247,2.231349489554496,0.30485571692254687,126.33755546600507,1.9147008259610157,0.8970304928079268,0.9221261549984031,0.9453146452225277
319,0,50,20,Mode,40,[   0   71  758 1270 1880 1922],5,687,42,384.4,74692.26126933369,26.936409499965954,0.07846680601278838,119.40208488763899,2.248496762632238,0.31319121205666145,133.63258789537733,1.913396919754672,0.9464549902533745,0.9650169635101921,0.9754879387840243
320,0,50,20,Median,40,[   0   71  753 1295 1686 1881 1922],6,682,41,320.3333333333333,60884.14684797783,23.439704993841595,0.0798691757319489,101.99568503547634,2.563903139893275,0.25747989063955723,106.37812548222264,2.1541766012967063,0.8827520464541875,0.9093631676478455,0.9325690851581233
321,0,50,20,Mode,40,[   0   71  758 1270 1698 1880 1922],6,687,42,320.3333333333333,59583.691713708846,23.16485692452907,0.06729577315305796,101.4161858190276,2.702328070552167,0.2565557551136489,105.956414590246,2.252535248915925,0.9283377408496745,0.9535855306068567,0.9656443781892233
322,0,50,20,Median,40,[   0   71  758 1295 1686 1881 1922],6,687,41,320.3333333333333,60970.584968975294,23.463269284272222,0.08073179975619348,102.1268387652712,2.55839763428216,0.2577120143582728,106.2748509025359,2.1496697448138606,0.8894925969852994,0.9178764770064063,0.9389362345220733
323,0,50,20,Mode,40,[   0   71  758 1270 1698 1880 1922],6,687,42,320.3333333333333,59583.691713708846,23.16485692452907,0.06729577315305796,101.4161858190276,2.702328070552167,0.2565557551136489,105.956414590246,2.252535248915925,0.9283377408496745,0.9535855306068567,0.9656443781892233
324,0,50,20,Median,40,[   0   71  758 1295 1686 1881 1922],6,687,41,320.3333333333333,60970.584968975294,23.463269284272222,0.08073179975619348,102.1268387652712,2.55839763428216,0.2577120143582728,106.2748509025359,2.1496697448138606,0.8894925969852994,0.9178764770064063,0.9389362345220733
325,0,50,20,Mode,40,[   0   71  758 1270 1698 1880 1922],6,687,42,320.3333333333333,59583.691713708846,23.16485692452907,0.06729577315305796,101.4161858190276,2.702328070552167,0.2565557551136489,105.956414590246,2.252535248915925,0.9283377408496745,0.9535855306068567,0.9656443781892233
326,0,50,20,Median,40,[   0   71  424  758 1270 1327 1686 1881 1922],8,512,41,240.25,32488.650425794774,20.772558194967417,0.03854508716810372,79.75942501691762,3.7205673117535345,0.2502576226710173,53.938431134396374,2.6502350023766943,0.880070853017543,0.8537433589906153,0.8802664642441012
327,0,50,20,Mode,40,[   0   71  424  758 1270 1327 1698 1880 1922],8,512,42,240.25,32520.821804862277,20.81770680804567,0.03561434820414866,80.43678291173731,3.7327315481902748,0.25496608467889814,55.35847444777365,2.661011239879457,0.8840513321862274,0.8620312793156168,0.8876101088738149
328,0,50,20,Median,40,[   0   71  424  753 1270 1327 1686 1881 1922],8,517,41,240.25,32391.435468838008,20.75198833037515,0.035805896150629846,79.61163749708648,3.734552992365738,0.24929438599585646,53.640256485393635,2.6597229673386287,0.8750169004445161,0.8464151086116507,0.8743118404204941
329,0,50,20,Mode,40,[   0   71  424  758 1270 1327 1698 1880 1922],8,512,42,240.25,32520.821804862277,20.81770680804567,0.03561434820414866,80.43678291173731,3.7327315481902748,0.25496608467889814,55.35847444777365,2.661011239879457,0.8840513321862274,0.8620312793156168,0.8876101088738149
